Title,Author,Quantity,Genre
Angelina and the Rag Doll,Katharine Holabird,1,General Knowledge
Angelina Ballerina,Helen Craig,1,General Knowledge
Angelina's Lucky Penny,Katharine Holabird,1,General Knowledge
Animal Action,Karen Pandell,1,Science
Animal Families,Gene S. Stuart,1,Science
Animal Farm,George Orwell,2,Science
Animal friends,Scholastic,1,Science
Animal Grossology,Sylvia Branzei,2,Science
Animal Kingdom,Danbury Press,1,Science
"Animal Lives, Snakes",Sally Morgan,1,Science
Animal Males and Females,Renne,1,Science
Animal Parade,Chriatine Ricci,1,Science
Animals and Nature,Janine Amos,2,Science
Animals Exposed! The Truth About Animal Senses,"Bernard Stonehouse, Ester Bertram",1,Science
Animals Here and There,D.H. Buchanan,1,Science
Animals in Danger,Field Enterprises,1,Science
Animals in SUMMER,National Geographic,1,Science
Animals that Glow,Judith Presnall,1,Science
"Animals Under Threat, Orangutan",David Orme,1,Science
Animals Without Backbones,Elaine Pascoe,1,Science
Animals/Animals:CAMELS,Judith Jango-Cohen,1,Science
animlas at play,k.m kostyal,1,General Knowledge
animlas that live in trees,scholastic,1,General Knowledge
Animorphs The Proposal,Schoolastic,1,General Knowledge
"Animorphs, The Escape",K.A. Applegate,1,General Knowledge
Animorphs: The Visitor,K.A. Apple,1,General Knowledge
Anipao,Jamake Highwater,1,General Knowledge
Anklyosaurus,Mike Brown,1,General Knowledge
Ankylosaurus,Rupert Oliver,1,General Knowledge
Anmals of the High Mountains,Justin E. Rinard,1,General Knowledge
Anna Is Still Here,Ida Vos,1,General Knowledge
Anna of Byzantium,Tracy Barrett,1,General Knowledge
Anne and the Old One,Miska Miles,1,General Knowledge
Anne Frank,Richard Tames,1,General Knowledge
Anne Frank,Susanna Davidson,1,General Knowledge
Anne Frank - Beyond the Diary,"Ruud van der Rol, Rian Verhoeven",1,Literature
Anne Frank In The World,Anne Frank House,1,General Knowledge
Anne of Green Gables,L. M. Montgomery,1,General Knowledge
Anne of green Gables,L.M. Montgomery,2,General Knowledge
Anne of Green Gables,M. C. Helldorfer,1,General Knowledge
Annie and the Wild Animals,Jan Brett,3,Science
Annie John,Jamaica Kincaid,1,General Knowledge
Antarctic Adventure,Meridth Hooper,1,General Knowledge
Antartica,Carol Barkin,1,Arts and Recreation
Anti Venom,Michael Anthony Steele,1,General Knowledge
Antihero,Kate Karyus Quinn & Demitria Lunetta,3,General Knowledge
"Antler, Bear, Canoe",Besty Bowen,1,General Knowledge
"Antler, Bear, Canoe, A Northwoods Alphabet Year",Betsy Bowen,1,General Knowledge
Antsy Does Time,Neal Shusterman,1,General Knowledge
any small goodness,tony johnson,1,General Knowledge
Anything But Typical,Nora Raleigh Baskin,1,General Knowledge
Apollo 11 Mmoon Landing,Thomas K. Adamson,3,General Knowledge
apollo 11 moon landing,thomas k. adamson,6,General Knowledge
Apple Island or The Truth About Teachers,Douglas Evans,1,General Knowledge
April Foolishness,Teresa Bateman,1,General Knowledge
April’s Kittens,Clare Turlay Newberry,1,General Knowledge
Aquamarine,Alice Hoffman,2,General Knowledge
Araminta Spookie,Frognapped,1,General Knowledge
Arctic Babies,Kathy Darling,1,General Knowledge
Are You  Spider,Judy Allen and Tudor Humphire,1,General Knowledge
Are you a Ladybug,Judy Allen,1,General Knowledge
Are you a Snail?,Judy Allen and Tudor Humphries,1,General Knowledge
Are You My Mother?,P.D. Eastman,2,General Knowledge
are you there god its me margret,judy blume,1,Religion
Aremis Fowl: The Opal Deception,Eoin,1,General Knowledge
Ark Angel,Anthony Horowitz,1,General Knowledge
armadillo rodeo,jan brett,1,General Knowledge
armageddon summer,jane yolen and bruce coville,1,General Knowledge
armagedon summer,jane volen,2,General Knowledge
Armies,Walter Retan,1,General Knowledge
Armor,Charlotte and David Yue,1,General Knowledge
Around and About Udner the sea,Annita Ganiri and Jacky Wood,1,General Knowledge
Around the World in Eighty Days,Jules Verne,2,General Knowledge
Arrow to the Sun,Gerald McDermott,2,General Knowledge
Artemis Fowl,Eoin Colfer,3,Arts and Recreation
Artemis Fowl - The Artic Incident,Eoin Colfer,2,Arts and Recreation
Artemis Fowl - The Eternal Code,Eoin Colfer,1,Arts and Recreation
Artemis Fowl The Artic Incident,Eoin Colfer,2,Arts and Recreation
Artemis Fowl The Eternity Code,Eoin Colfer,1,Arts and Recreation
"Artemis Fowl, The Eternity Code",Eoin Colfer,3,Arts and Recreation
Artemis Fowl: The Opal Deception,Eoin Colfer,1,Arts and Recreation
Artemis Fowler - The Lost Colony,Eoin Colfer,2,Arts and Recreation
Artermis fowl the opal deception,eoin colfer,2,Arts and Recreation
Arthur and the Big Snow,Marc Brown,1,Arts and Recreation
Arthur and the Goalie Ghost,Marc Brown,4,Arts and Recreation
arthur and the popularity test,stephen krensky,1,Arts and Recreation
Arthur and the Seventh-Inning Stretcher,Stephen Krentsky,1,Arts and Recreation
Arthur Lost and Found,Marc Brown,1,Arts and Recreation
arthur's family vacation,marc brown,2,Arts and Recreation
Arthur's Great Big Valentine,Lillian Hohan,1,Arts and Recreation
Arthur's Teacher Moves In,Marc Brown,1,Arts and Recreation
Arthur's Teacher Trouble,Marc Brown,3,Arts and Recreation
